Day,hours-dec,hours-nov,hours-oct,hours-sept,hours-aug,hours-jul,hours-jun,hours-may,hours-apr,hours-mar,hours-feb_leap,hours-feb,hours-jan
1,8.17,9.63,11.60,13.53,15.38,16.55,16.33,14.88,12.98,10.93,9.15,9.20,7.92
2,8.15,9.58,11.53,13.48,15.33,16.53,16.37,14.93,13.05,11.00,9.20,9.25,7.95
3,8.12,9.52,11.47,13.42,15.28,16.52,16.38,14.98,13.12,11.07,9.27,9.30,7.97
4,8.08,9.47,11.40,13.35,15.23,16.48,16.42,15.05,13.18,11.13,9.32,9.37,7.98
5,8.05,9.40,11.33,13.28,15.17,16.47,16.43,15.10,13.25,11.20,9.38,9.42,8.02
6,8.03,9.35,11.27,13.22,15.12,16.43,16.47,15.17,13.32,11.27,9.43,9.48,8.03
7,8.00,9.28,11.20,13.15,15.07,16.42,16.48,15.22,13.38,11.33,9.50,9.53,8.07
8,7.98,9.23,11.15,13.10,15.00,16.38,16.52,15.27,13.45,11.40,9.55,9.60,8.08
9,7.95,9.18,11.08,13.03,14.95,16.37,16.53,15.33,13.50,11.47,9.62,9.67,8.12
10,7.93,9.12,11.02,12.97,14.88,16.33,16.55,15.38,13.57,11.53,9.67,9.72,8.15
11,7.92,9.07,10.95,12.90,14.83,16.30,16.57,15.43,13.63,11.60,9.73,9.78,8.18
12,7.90,9.02,10.88,12.83,14.77,16.27,16.58,15.48,13.70,11.67,9.80,9.85,8.22
13,7.88,8.97,10.82,12.77,14.72,16.23,16.60,15.53,13.77,11.73,9.85,9.90,8.25
14,7.87,8.92,10.75,12.70,14.65,16.20,16.60,15.58,13.83,11.80,9.92,9.97,8.30
15,7.87,8.87,10.68,12.63,14.60,16.17,16.62,15.63,13.90,11.87,9.98,10.03,8.33
16,7.85,8.82,10.63,12.57,14.53,16.12,16.62,15.68,13.95,11.93,10.05,10.08,8.37
17,7.85,8.77,10.57,12.52,14.47,16.08,16.63,15.73,14.02,12.00,10.10,10.15,8.42
18,7.83,8.72,10.50,12.45,14.42,16.05,16.63,15.78,14.08,12.07,10.17,10.22,8.45
19,7.83,8.67,10.43,12.38,14.35,16.00,16.63,15.83,14.15,12.13,10.23,10.28,8.50
20,7.83,8.62,10.37,12.32,14.30,15.97,16.63,15.87,14.22,12.20,10.30,10.35,8.55
21,7.83,8.57,10.32,12.25,14.23,15.92,16.63,15.92,14.27,12.27,10.37,10.40,8.58
22,7.83,8.53,10.25,12.18,14.17,15.87,16.63,15.97,14.30,12.33,10.42,10.47,8.63
23,7.83,8.48,10.18,12.12,14.10,15.83,16.63,16.00,14.40,12.40,10.48,10.53,8.68
24,7.83,8.43,10.12,12.05,14.05,15.78,16.63,16.05,14.45,12.47,10.55,10.60,8.73
25,7.85,8.40,10.07,11.98,13.98,15.73,16.62,16.08,14.52,12.53,10.62,10.67,8.78
26,7.85,8.35,10.00,11.92,13.92,15.68,16.62,16.12,14.58,12.60,10.68,10.73,8.83
27,7.87,8.32,9.93,11.85,13.85,15.63,16.60,16.17,14.63,12.65,10.75,10.80,8.88
28,7.87,8.28,9.88,11.78,13.80,15.58,16.58,16.20,14.70,12.72,10.82,10.87,8.95
29,7.88,8.25,9.82,11.73,13.73,15.53,16.58,16.23,14.75,12.78,10.88,,8.98
30,7.90,8.22,9.75,11.67,13.67,15.48,16.57,16.27,14.82,12.85,,,9.05
31,7.92,,9.70,,13.60,15.43,,16.30,,12.92,,,9.10
avg,245.55,266.04,329.65,378.13,450.15,498.33,496.68,485.16,417.47,369.85,289.79,280.22,261.05
,7.92,8.87,10.63,12.60,14.52,16.08,16.56,15.65,13.92,11.93,9.99,10.01,8.42
